"customer_id","years_in_current_job","home_ownership"
"e298cbfc-074f-4441-9faf-d452aba7487f","10+ years","Rent"
"4b8c3426-83b6-4e7a-bd22-ab5695587508","10+ years","Home Mortgage"
"5df79973-ce71-49e2-a6a2-a52221cd1b1a","4 years","Rent"
"fc5cff9c-c6b5-4616-a83f-c6866e7ce032","2 years","Home Mortgage"
"ba4f8d7d-4907-4870-a1b1-e79f7055e13d","7 years","Rent"
"4bdc5535-cbfe-4f08-9852-0d2a690a4644","10+ years","Home Mortgage"
"f0d6b352-bcf0-4114-9180-3e25878ddf69","3 years","Rent"
"151e8706-cbcc-4d7f-bff0-a13ef9f5807a","10+ years","Home Mortgage"
"455d606b-6b1e-4222-9b90-987c55d001e6","1 year","Home Mortgage"
"8823b7a8-9c0b-4f2d-a1dc-ffcb37ee4efb","6 years","Home Mortgage"
"9d42ab3f-ccf7-4b8e-9dc0-54caaae9c343","10+ years","Home Mortgage"
"3fcb95d2-9f4f-4877-b959-a02948af9de4","7 years","Home Mortgage"
"3edb6bb1-2045-4746-bd78-cdd4a7683b8d","< 1 year","Rent"
"030a28e3-11ef-4d3f-9601-0479039ac27c","3 years","Rent"
"90303eb6-110d-4aed-98e9-5bdb1ce8bb10","7 years","Rent"
"d7ba72fa-b67b-46e7-8f1b-aa68520b89c8","7 years","Rent"
"dccb0b43-a54d-47ae-b01b-382d193b475b","10+ years","Home Mortgage"
"44c5392a-dab7-4747-a2c7-da56763c6a5e","10+ years","Rent"
"3ecdcd82-6b30-4518-bdf9-92de5833caee","1 year","Home Mortgage"
"4bf2f68f-20e5-44ce-b073-a31953b2f646","2 years","Rent"
"942d2eb9-a841-4b19-96c3-a9aaa73b0dcf","10+ years","Home Mortgage"
"7a826762-3889-4043-9425-363df5f6101d","4 years","Home Mortgage"
"5bdd1ffb-85eb-4072-941e-226eaecebb1f","10+ years","Home Mortgage"
"4e5b7ae7-5341-4435-8da8-fa5ed89b6905","1 year","Rent"
"453062fa-f96e-42e4-add5-d15c812fc141","2 years","Home Mortgage"
"e1ca1603-7399-4ae4-a7cd-d5015c433e8c","8 years","Rent"
"044bdda9-adf7-4025-b77d-0160e4e834c2","3 years","Home Mortgage"
"eb9b4903-d0df-4a68-bec9-00583ed78f33","< 1 year","Rent"
"0c687ecc-cabf-48dd-83cd-b6fa50e11fcb","7 years","Home Mortgage"
"8ded7e5a-b0e0-4d18-a3cf-5ad8cd5fea52","< 1 year","Rent"
"f99cee77-ac7d-4d8b-936e-93ada7836e1b","3 years","Rent"
"c8b825f5-3188-4c38-a4cd-8dd1952d3e20","6 years","Own Home"
"1ccbd292-a4e3-4ac4-bf08-565e66f30fe6","10+ years","Home Mortgage"
"c9e10069-780c-4853-aa6f-092a425f2663","4 years","Rent"
"36096b3d-97e7-4b1e-89bd-660289a7a62d","1 year","Rent"
"9fa0a981-d220-4f8a-99c2-5321c42f070f","10+ years","Rent"
"1e8705ea-cf91-464b-bba9-035a4c9a6da7","7 years","Home Mortgage"
"dba85a94-371c-4d9f-a0b4-d56def6659fa","7 years","Home Mortgage"
"1ad6919e-0fe1-4628-94a6-69bbd7cb8edc","10+ years","Own Home"
"1d77b9af-c36c-4683-81e2-54bfb01f00d6","9 years","Rent"
"ec83df40-a37c-4c6f-89c4-e2dbe965026e","< 1 year","Rent"
"735e7283-7724-484c-b113-d50e04e92c63","5 years","Rent"
"e6b4ef94-b40d-451e-b0f7-a164ca3831fc","10+ years","Home Mortgage"
"cf4d223b-958a-4a31-8b82-09ae3996fd0c","7 years","Home Mortgage"
"5e02406a-3cd6-49f7-bdc7-0f90ec0bb030","< 1 year","Rent"
"b0d26cc8-cf23-4eb3-aa53-8074353532ce","1 year","Home Mortgage"
"0d165460-bb88-4a53-b8aa-cdbf8c3f342c","2 years","Home Mortgage"
"6ecfe8c1-8b24-472b-9efa-0fd181df38e9","9 years","Home Mortgage"
"01246538-e5a4-46e1-9db5-082889444846","7 years","Home Mortgage"
"d56c6737-bab6-49fc-9363-b7937e489e3a","6 years","Home Mortgage"
"6adde19f-937f-4369-a6ad-cfe94b41d6dc","5 years","Rent"
"ba0dcc40-2355-4934-a4f8-1dc189964279","4 years","Home Mortgage"
"37c41379-e56c-4455-a94b-2b810d80a058","4 years","Own Home"
"45f8e491-a49a-478d-8ec0-68d6fbd10c90","10+ years","Home Mortgage"
"12be2338-32c8-459d-8201-e85308164a9b","1 year","Rent"
"a18c315b-1918-4c8c-bf77-15886243427f","1 year","Home Mortgage"
"886e3ac5-357d-42ab-81cd-aaee8d28c706","8 years","Rent"
"f922a1c3-98e7-4870-ade3-dd9a9b2fa5ee","2 years","Own Home"
"68b77d5b-94b9-46b3-a979-d9ae507df0e2","7 years","Rent"
"90fdf7b8-8547-4d7d-b7c1-a1a93117fcee","< 1 year","Rent"
"7e1c0a75-f49e-4a18-aa19-260ff92b57df","6 years","Rent"
"f20cccab-9676-4fba-a5c2-7e6d52d07bba","10+ years","Rent"
"f36792bd-e4e8-432a-95b6-49c8965cf1d9","3 years","Rent"
"0af8fb87-4963-408f-824d-63c51cfb7f92","10+ years","Home Mortgage"
"c202ba1a-d4a2-42d7-a2f1-d0093fc4509b","10+ years","Home Mortgage"
"8aad10e5-1d3b-4014-8652-861f974b5dc4","2 years","Home Mortgage"
"fc950ca6-8f85-425c-a800-85a71a4e0870","2 years","Rent"
"fd4ca23b-1ad4-404e-97c4-f1834094d9d8","3 years","Own Home"
"ab77813a-d625-4f19-9772-f17d6654656c","2 years","Home Mortgage"
"50b9be84-4a19-4005-b50a-016352734f4d","1 year","Home Mortgage"
"47fdd7c4-e629-4826-a847-d2438cf2f445",NULL,"Home Mortgage"
"a32475a6-e244-4386-98a7-b02c1c78e2c1",NULL,"Home Mortgage"
"ee43e681-9eca-4f0a-9b37-0c7a242b7963","9 years","Rent"
"76c63206-8f06-45f1-9973-be2cda8dc4fa","10+ years","Rent"
"a2dc4e54-eaa7-4bbc-b103-8d06d05a3f54","9 years","Home Mortgage"
"860862ac-4148-48de-88df-fff9e7f4d784","6 years","Home Mortgage"
"1eefc01a-2551-44c9-8305-0fd083e770ac","10+ years","Rent"
"133bad47-5555-49f6-9885-70756e18ad74","< 1 year","Rent"
"3d444fd0-12df-4671-a439-e6933570da1b","2 years","Rent"
"c56cdb33-b1fd-4d8b-9b63-db54333910a8","2 years","Rent"
"7391b4e2-f7fe-41dd-bb58-eddcce0ea92d","10+ years","Home Mortgage"
"64dcd3aa-3c82-4c70-929a-a83d249d894a","9 years","Home Mortgage"
"51fcba2d-c634-4e05-ba0f-9d1b3e2e70a5","8 years","Rent"
"62c2c24e-d73e-424b-b344-173ff9c1ab34",NULL,"Home Mortgage"
"7d09ca08-2cdd-4da0-8419-56efa1742725","10+ years","Home Mortgage"
"bc0556e1-ef0d-4ad8-a579-83fffe860d50","10+ years","Home Mortgage"
"2cfaebac-5ad2-44c3-804f-8cee5fd8ea96","5 years","Rent"
"b5c327ed-2316-4b1e-98e4-5e0a31943bef","1 year","Rent"
"e3c54e03-73c7-418d-9672-f3eda66c4f4f","7 years","Rent"
"9a378a11-d17c-486f-bdc8-2ce117215d6b","10+ years","Home Mortgage"
"b48dacc4-9a81-4817-9efc-62f4678f632b","4 years","Rent"
"bcb7a8a2-54b9-4d2e-907d-066d7db1332f","9 years","Home Mortgage"
"3569687c-9c83-4902-8499-07554a9de12b","9 years","Home Mortgage"
"477346c7-4293-4c1b-a712-89be53157e28","< 1 year","Rent"
"0c83cac3-592e-4d36-a601-b4e50af8e96e","10+ years","Home Mortgage"
"67d9a806-c23d-45fc-8c49-aec86224c66f","5 years","Home Mortgage"
"36a90e1f-25bb-4666-b78a-62b17ecc427d","< 1 year","Rent"
"86ea6dde-87de-443a-98a8-1ddb8c454811","10+ years","Home Mortgage"
"f0d0fb77-c03c-4e41-86ce-421999997be0","10+ years","Rent"
"c68e4653-01eb-4e55-88c3-80b151fa9c90","1 year","Rent"
"142ac1e6-9f6b-4656-b1c5-a3aeca3b3736","5 years","Home Mortgage"
"91a2224e-3024-4b3c-848b-3ecf24503d71","10+ years","Home Mortgage"
"51e76175-9403-4871-a6e4-c5b5ea7a1412","1 year","Rent"
"546408e9-0300-401e-a111-446b87b78fa2","5 years","Home Mortgage"
"77c02bb2-717c-459d-8828-7cfce08b4a0b","5 years","Rent"
"0e0fa488-b6cb-444e-b3cf-c2021a74cad8","< 1 year","Home Mortgage"
"2bac8213-2ea9-4aa7-9112-8cc72cbb616e","10+ years","Home Mortgage"
"117496d1-3c6e-4299-a8f6-0e4668b6bef9","< 1 year","Rent"
"289b5992-ceed-469a-9c30-9a8c5567a1ee","2 years","Rent"
"50d18312-05f4-44c6-8b25-5afe86526d33","2 years","Rent"
"8156ed23-5700-4450-a981-dcff4cf322ce","5 years","Home Mortgage"
"fa3af482-4fd5-4b0c-8d75-d3292a195463","3 years","Home Mortgage"
"9af01efe-ca83-4a69-bae2-a2d80b18e467","1 year","Rent"
"660e1e64-6904-4904-acd7-6c7dc096bbfc","10+ years","Home Mortgage"
"1eff98c5-6382-4c2b-8241-1193ea885216",NULL,"Home Mortgage"
"580287c4-97f3-4e12-b815-4a57be8fc372","10+ years","Rent"
"b0e36332-8a35-45a8-94bb-a2ccdbb43f93","10+ years","Home Mortgage"
"f2679b6f-e5c8-4af8-8027-b2933a535741","10+ years","Home Mortgage"
"3ee8dea0-7560-4a54-8cf2-18a196f68618","7 years","Home Mortgage"
"e74223bc-f0d9-4ae5-8616-229c49df7902","10+ years","Own Home"
"7fa3a146-1ab1-48bf-8917-41022a07383a","10+ years","Rent"
"0ce26174-19c8-48b5-8a4d-226aca78367e","10+ years","Rent"
"9f9bb0ba-9afd-4b10-b489-28cd65bbf75c","4 years","Home Mortgage"
"529f45cf-801d-4844-994d-8b3b2db40bd9","2 years","Rent"
"4c328ed4-c746-4ae6-92cc-8c648dd8c366","3 years","Rent"
"248d929d-28d2-437b-a3ab-912346b03513","4 years","Home Mortgage"
"9bf42874-90b7-44b2-8567-0b26b2ce7f77","6 years","Rent"
"48cdef94-bd16-4df1-98fc-50fc3efae88e","1 year","Rent"
"bdc8384b-c937-4c0b-b2a5-8e3d755c8d7b","10+ years","Home Mortgage"
"c746e142-7048-4f4d-b3ff-294bc3673b3c","< 1 year","Rent"
"9f11cce9-12a9-48ff-a776-62aa7f6beebf","4 years","Rent"
"2f026faa-1ea6-47b1-8be0-c69631b988f6","10+ years","Home Mortgage"
"7b2a256c-be3f-4f98-b797-f9f38f075a66","3 years","Own Home"
"a02537d3-16b1-4a7a-a8a0-e7cf0ff98e6c","10+ years","Rent"
"3e28b8e1-eec6-4c4a-8b1b-d718535bc995","3 years","Rent"
"c8d35d40-d82a-4eed-9768-c09e61f8fe68","5 years","Rent"
"eef2c01f-7676-48e3-96d2-5d965f7efbd7","2 years","Rent"
"7a4ecabe-6d54-4609-a0f0-17b20b1622a9","10+ years","Home Mortgage"
"4a38f197-1e4a-49f9-bc02-7563c7663f69","10+ years","Home Mortgage"
"ee5f9ebe-0bc7-4be2-ba09-07329fb9f0f9","10+ years","Home Mortgage"
"70e8b7c3-5c89-43d9-91b2-54c5f82e6aeb","8 years","Rent"
"b2e263f2-7ca6-4def-ae66-425aca9a44ce","< 1 year","Home Mortgage"
"1c9b370f-8dce-4135-af08-8fdea9fcc3fa","5 years","Rent"
"fe12ac96-f1c9-4ee1-8564-7b9c407be684","4 years","Home Mortgage"
"016cec7a-d077-4efa-8ce1-01cb0c3f14ce","8 years","Own Home"
"6d3ed03d-9b0f-4730-857f-2c31484bcb0c","8 years","Home Mortgage"
"d05982f1-bfcd-418f-add8-afcdd79c1e02","10+ years","Rent"
"597d860d-c890-4f31-b476-f8996bb8fdc4","5 years","Home Mortgage"
"ce0e117f-d104-4681-82cb-4bbe32ca48dd","10+ years","Own Home"
"19542fc0-6f7e-4e88-8d98-bb678d68ea30","6 years","Rent"
"fedd8518-ead5-4392-ba6a-78707a75a5c6","8 years","Home Mortgage"
"6841d292-bf4d-4f08-bdef-b851643cee7f","7 years","Own Home"
"f4a4857d-fdac-4f25-8886-607574527864","5 years","Home Mortgage"
"ffe02306-8102-4c69-a514-72ef531ce7e1","2 years","Home Mortgage"
"07838ed8-d984-456f-bd10-308126ab9774","10+ years","Home Mortgage"
"ee5e2ea2-6641-428d-9770-455672dfdd17","8 years","Home Mortgage"
"2d1f095e-2db8-4c97-a8aa-557615b67804","10+ years","Home Mortgage"
"70f10338-c42a-442b-8d27-fd47fe3f6d39","10+ years","Home Mortgage"
"e460bc99-b5fc-4b3b-979e-1e7c5be6c81d","10+ years","Home Mortgage"
"63796095-b7b6-4f04-b17c-e77f3c799fa5","10+ years","Home Mortgage"
"6883114b-f6c5-4eec-8048-91be2a5068a7","10+ years","Home Mortgage"
"5ddd0f20-e1b7-490a-a3dd-dd36d0380664","< 1 year","Rent"
"f7f8e132-37ed-4cc7-a5f9-5d5dea766cdb","10+ years","Home Mortgage"
"01af6fa9-b03b-4271-ad41-68144af5174c","10+ years","Home Mortgage"
"f36aa067-20f8-4fc1-a4b3-ee8583e1771e","< 1 year","Rent"
"a8cd0882-f4ae-44ed-bdba-b0fa88032f8d","7 years","Rent"
"f5b57b23-e214-427a-8d8f-79e3120cc3f5","4 years","Home Mortgage"
"1b7eb5be-f3f3-4fbd-9ea9-f5375ded5692","6 years","Own Home"
"2ea0bc45-2e41-4932-af65-e4ed6e8554cf","10+ years","Home Mortgage"
"e25e2a25-19db-4100-97fc-18282b8c98a0","10+ years","Home Mortgage"
"6c23d05e-c604-4b43-a6cb-7a0e44bad670","10+ years","Home Mortgage"
"8cd8a9f1-ee07-4ba2-a0f8-87aa31435c90",NULL,"Home Mortgage"
"baba73db-8398-4d46-be16-3344448fc21f","10+ years","Home Mortgage"
"22702252-ce3f-49f3-b62b-92022bf4c7fb","3 years","Rent"
"dabfeeab-b80c-41ab-90ae-8d3549d3c72b",NULL,"Home Mortgage"
"df9f570e-c620-4065-a045-1fdb1441d8ca","3 years","Rent"
"efb8142e-318b-4c95-ab8a-0debf34bea04","10+ years","Home Mortgage"
"7d58405b-a575-43df-882d-3053fef20637","2 years","Own Home"
"db57077a-6e13-425c-8e82-211c0e2f79c0",NULL,"Home Mortgage"
"191d6883-713d-4380-96d6-417a9cc0830d","1 year","Own Home"
"26fa597c-e2b9-4873-8894-f3574e95503b","10+ years","Home Mortgage"
"d75c5d50-9703-4571-85e9-37c19de411c5","9 years","Home Mortgage"
"87630839-daf3-4eab-9d2a-f53837fbb87a","10+ years","Home Mortgage"
"9d6258bf-f326-4fa5-8d51-c61c4e09ea84","3 years","Rent"
"ceb55b24-7481-4290-a522-f9455d6f051c","2 years","Rent"
"30e80eb8-22e8-43b1-a927-6c98e5d1ff3c","3 years","Home Mortgage"
"561f4e5e-1c14-48f6-a973-f88429fdc265","7 years","Rent"
"e18f7cf9-0093-4946-a878-e239f14f2db7","8 years","Own Home"
"735ddd4f-0c4a-41b8-ba3b-f52b98fa8e2e","5 years","Rent"
"0abf8e06-2433-4009-8ad5-adf64ddc80c8","7 years","Rent"
"1dc24b5e-f322-469b-a154-a15fea750baf","10+ years","Rent"
"33bf0df2-a905-4963-9d22-7375ee815b3d","3 years","Home Mortgage"
"662a169b-55a7-49ff-be87-861f0fdbb357","2 years","Rent"
"9a9e3ed2-d6b2-47e3-b87a-312a5da73343","7 years","Home Mortgage"
"bcd9849c-6b3a-4967-a7d2-fd071e621e77","10+ years","Home Mortgage"
"e50769c7-d01a-43af-b66d-9a13dc014f36",NULL,"Home Mortgage"
"a3e68c54-ec6c-4f27-861b-d60025f36cde","< 1 year","Rent"
"f83594ba-4d1d-45e2-ba80-5cf51e8c35f1","1 year","Rent"
"9281ecfc-e6e4-42cf-97d9-bd7911ed4dae","8 years","Own Home"
"847a26f1-a423-49df-ae24-9b604609ad92","5 years","Home Mortgage"
"09c6f224-cf1f-4c50-b3ac-30c93dc5ff28","< 1 year","Rent"
"ca4f90bc-7222-4792-9061-6b30772818bf","10+ years","Home Mortgage"
"073e047d-fe1a-4d74-87e8-27fc569a9052","< 1 year","Rent"
"f2c78905-f5de-4b37-97db-2b169ffb76a7","10+ years","Own Home"
"c793367c-0942-4d2b-b453-df38f94d345d","10+ years","Rent"
"d959a0ee-3b70-4344-a4ec-faecafd20145","10+ years","Home Mortgage"
"a54d79f2-4314-4964-9c88-d1b2f0450a41","4 years","Rent"
"a2a44277-fd9b-45ff-a28c-9a4c3678c41a","7 years","Own Home"
"597b6a21-89f4-4c78-83a4-ab24a7725c52","1 year","Home Mortgage"
"df888b2a-d3e8-4351-93b6-acf3ab7e17c6","4 years","Rent"
"1ccd46bb-adc7-4676-a406-f3eeb3dbb284","2 years","Rent"
"9f4ebd2a-621d-44c3-b4cc-02952d3227e6","< 1 year","Rent"
"642ec47d-8e65-4bbe-908b-a440ad279979","7 years","Home Mortgage"
"a239a831-642f-4cf8-926c-beac6ee5f36d",NULL,"Home Mortgage"
"a5590971-4224-4f70-bfc1-a561c65e01ec","10+ years","Home Mortgage"
"b80882aa-56b6-4e07-9897-c33e506ec24e","5 years","Rent"
"7e53c8ce-62b4-4587-89f0-76b039b0ea1a","< 1 year","Rent"
"58fe46dc-0b80-43db-8df9-80b7fb75924d","4 years","Home Mortgage"
"aed4c830-c921-4cd4-8fc8-f2622828d3e9","8 years","Rent"
"2b0b8447-335c-408d-9226-919788601a79","10+ years","Rent"
"78d34582-bfa9-4905-87f6-e2388392350e","6 years","Home Mortgage"
"8980f73f-9444-476b-9f9d-a03b7cbca798","8 years","Home Mortgage"
"a4daa4ec-bafe-4c1b-960e-905b5b2644f0","2 years","Rent"
"b183e74e-c2f5-44ca-82bb-edfb87dca58c","10+ years","Home Mortgage"
"cc8b7adc-f294-45d6-9348-240f1899f6cf","8 years","Home Mortgage"
"dcc6ab9d-f70d-4b50-975e-4c165c09b9af","6 years","Home Mortgage"
"445a6146-6b1f-47c1-8550-cf396f30d24b","2 years","Home Mortgage"
"d1eeca26-b38a-4b30-8687-9572e214c88f","2 years","Rent"
"a516d48a-155e-4cbb-8710-43bddd55b655","< 1 year","Own Home"
"6e74edf5-0498-4171-9123-f7f637520240","< 1 year","Home Mortgage"
"f4e50dd6-fd48-4d7d-8f4c-c4da73af8194","10+ years","Own Home"
"87c44b01-2054-49f0-872d-cd0f4e503385","2 years","Home Mortgage"
"58e605ce-de2a-4851-9126-022c7591fc2f","6 years","Rent"
"ffbd01e5-5886-47fa-82e7-0c29cb14f30f","6 years","Home Mortgage"
"5f88aa1b-7526-47b4-99cf-51671f27817c","10+ years","Rent"
"7d0315cd-ebd7-4580-b1fd-5396d5719556","3 years","Rent"
"6885de95-8a49-4ddb-a8da-b4d3bbb88190","2 years","Home Mortgage"
"f17b80fe-d2b7-4015-944a-b61b9ec5f13a","2 years","Home Mortgage"
"6f0fb886-cacf-4e15-82cb-d125472a0c7b","6 years","Home Mortgage"
"2ee68db3-8790-494b-b328-c308a1234cd1","6 years","Home Mortgage"
"0c4d94c3-2e19-4e78-a4f2-bc6e3b40d5cb","10+ years","HaveMortgage"
"b594bff7-3030-4318-933e-427e57129cb7","< 1 year","Home Mortgage"
"865bd443-5b86-4b07-9218-8dffe43209fc","6 years","Home Mortgage"
"3ba73ec7-aa01-49b2-beb0-53eaab294c0a","2 years","Rent"
"f06b759a-06f2-4061-b10a-b09e05b04d82","7 years","Home Mortgage"
"ef3ea28c-01b1-478a-aa98-4ea0b3398a15","10+ years","Home Mortgage"
"271886d9-a9f9-4d48-b335-c6386e852408","6 years","Own Home"
"4eab7a13-91ce-450a-8d34-e85e2c11570a",NULL,"Home Mortgage"
"b2f2d7d2-e4c6-4f63-8dc0-e6ef40555d4a","10+ years","Rent"
"c98e31fb-7471-4a58-9cb7-a04c8104abd8","1 year","Rent"
